,alg_type,env_name,gae_lambda,ent_coef,actor_lr,critic_lr,percentile_normalized_return,mean_return
0,advn_norm_ema,ant,0.1,0.001,1e-05,1e-05,0.4325458084328554,-22.125365736024133
1,advn_norm_ema,ant,0.1,0.001,1e-05,0.0001,0.6691607762716967,-7.3189382147789
2,advn_norm_ema,ant,0.1,0.001,1e-05,0.001,0.6394273620137028,-9.179537513256072
3,advn_norm_ema,ant,0.1,0.001,1e-05,0.01,0.6095625041657241,-11.048362030982972
4,advn_norm_ema,ant,0.1,0.001,1e-05,0.1,0.5834970980840545,-12.67943190574646
5,advn_norm_ema,ant,0.1,0.001,0.0001,1e-05,0.8599997866315848,4.623011193275452
6,advn_norm_ema,ant,0.1,0.001,0.0001,0.0001,1.0749643966920452,18.074645075798035
7,advn_norm_ema,ant,0.1,0.001,0.0001,0.001,1.1131798477580006,20.466016642727617
8,advn_norm_ema,ant,0.1,0.001,0.0001,0.01,0.9430019695936653,9.816959054470063
9,advn_norm_ema,ant,0.1,0.001,0.0001,0.1,0.8642180472172997,4.886973233371973
10,advn_norm_ema,ant,0.1,0.001,0.001,1e-05,0.5510488251030274,-14.709916310310364
11,advn_norm_ema,ant,0.1,0.001,0.001,0.0001,0.5666291308292868,-13.734962487220765
12,advn_norm_ema,ant,0.1,0.001,0.001,0.001,0.5901599796203842,-12.262495169024453
13,advn_norm_ema,ant,0.1,0.001,0.001,0.01,0.5487629001696438,-14.852960438728333
14,advn_norm_ema,ant,0.1,0.001,0.001,0.1,0.5393126017883173,-15.444322681427002
15,advn_norm_ema,ant,0.1,0.001,0.01,1e-05,0.5273795871795515,-16.19104347229004
16,advn_norm_ema,ant,0.1,0.001,0.01,0.0001,0.5444067095062077,-15.125553596785949
17,advn_norm_ema,ant,0.1,0.001,0.01,0.001,0.5616664382899836,-14.045508130484821
18,advn_norm_ema,ant,0.1,0.001,0.01,0.01,0.5253109189825707,-16.320492534637452
19,advn_norm_ema,ant,0.1,0.001,0.01,0.1,0.4756662174093725,-19.42706133022632
20,advn_norm_ema,ant,0.1,0.001,0.1,0.0001,0.16662756225127082,-38.765476353818926
21,advn_norm_ema,ant,0.1,0.001,0.1,0.001,0.10337802616674571,-42.72338180815923
22,advn_norm_ema,ant,0.1,0.001,0.1,0.01,0.11047230250880082,-42.27945009312983
23,advn_norm_ema,ant,0.1,0.001,0.1,0.1,0.11137470233555241,-42.222981486126564
24,advn_norm_ema,ant,0.1,0.01,1e-05,1e-05,0.418886152865605,-22.980132879324294
25,advn_norm_ema,ant,0.1,0.01,1e-05,0.0001,0.6109848024970419,-10.959360234737396
26,advn_norm_ema,ant,0.1,0.01,1e-05,0.001,0.6349625396414552,-9.458928413391114
27,advn_norm_ema,ant,0.1,0.01,1e-05,0.01,0.5792454298117254,-12.945484466552735
28,advn_norm_ema,ant,0.1,0.01,1e-05,0.1,0.5626649828584617,-13.983023166346902
29,advn_norm_ema,ant,0.1,0.01,0.0001,1e-05,0.5538475594525862,-14.53478259972369
30,advn_norm_ema,ant,0.1,0.01,0.0001,0.0001,0.7713027853260289,-0.9272958442615346
31,advn_norm_ema,ant,0.1,0.01,0.0001,0.001,0.7403088353882512,-2.8667744729481637
32,advn_norm_ema,ant,0.1,0.01,0.0001,0.01,0.7353652704990138,-3.176123183630407
33,advn_norm_ema,ant,0.1,0.01,0.0001,0.1,0.5577561366813449,-14.290199317535805
34,advn_norm_ema,ant,0.1,0.01,0.001,1e-05,0.4720781619542413,-19.651587629318236
35,advn_norm_ema,ant,0.1,0.01,0.001,0.0001,0.48888806127578627,-18.599690709114075
36,advn_norm_ema,ant,0.1,0.01,0.001,0.001,0.44974585278306406,-21.04905508518219
37,advn_norm_ema,ant,0.1,0.01,0.001,0.01,0.4913427211617937,-18.44608781567315
38,advn_norm_ema,ant,0.1,0.01,0.001,0.1,0.4282736566498056,-22.392700073801816
39,advn_norm_ema,ant,0.1,0.01,0.01,0.0001,0.40843301450986225,-23.634248875651586
40,advn_norm_ema,ant,0.1,0.01,0.01,0.01,0.42697229830500155,-22.47413392470102
41,advn_norm_ema,ant,0.1,0.01,0.01,0.1,0.3207806108660797,-29.119189128875732
42,advn_norm_ema,ant,0.1,0.1,1e-05,1e-05,0.4888067607323452,-18.60477817511377
43,advn_norm_ema,ant,0.1,0.1,1e-05,0.0001,0.5486117510235139,-14.862418753633387
44,advn_norm_ema,ant,0.1,0.1,1e-05,0.001,0.5391858198018266,-15.452256195993389
45,advn_norm_ema,ant,0.1,0.1,1e-05,0.01,0.5172299203247127,-16.826169424057007
46,advn_norm_ema,ant,0.1,0.1,1e-05,0.1,0.401187584853542,-24.087639166411442
47,advn_norm_ema,ant,0.1,0.1,0.0001,1e-05,0.0943169316347532,-43.290389215494834
48,advn_norm_ema,ant,0.1,0.1,0.0001,0.0001,0.18712817843843382,-37.48262899006788
49,advn_norm_ema,ant,0.1,0.1,0.0001,0.001,0.19229092498400951,-37.159564759449594
50,advn_norm_ema,ant,0.1,0.1,0.0001,0.01,0.18441506674655447,-37.65240477386452
